Culture,Isolation,Tissue,SampleState,SamplePlot,SampleRep,SampleID,Media,IsolateNum,Isolate,Reps.numerator,Reps.denominator,MorphoDate,Morphorep,Morphosp,MorphospLong,Morpho2,Update.from.original,Query.sequence,Taxon.assignment,Likelihood.weight,otu,Phylum,Class,Order,Family,Genus,otu.tree,otu.num,voucher
9/15/20,9/25/20,Root,IN,NE,1,IN-NE-1,GYRBA,328,GW20_328,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,10/26/20,Root,IN,NE,1,IN-NE-1,SFA,650,GW20_650,1,10,10/28/20,8,4,M-8-4,M-8-4,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,10/26/20,Root,IN,NE,1,IN-NE-1,SFA,651,GW20_651,1,10,10/28/20,8,4,M-8-4,M-8-4,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,GYRBA,330,GW20_330,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,GYRBA,331,GW20_331,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,GYRBA,332,GW20_332,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,GYRBA,333,GW20_333,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,MSJ,337,GW20_337,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,MSJ,339,GW20_339,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,MSJ,341,GW20_341,1,10,9/25/20,4,1,IN-4-1,IN-4-1,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,9/25/20,Root,IN,NE,2,IN-NE-2,SFA,367,GW20_367,1,10,9/25/20,4,8,IN-4-8,IN-4-8,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,10/26/20,Root,IN,SW,1,IN-SW-1,Armillaria,658,GW20_658,1,10,10/28/20,8,4,M-8-4,M-8-4,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,10/26/20,Root,IN,SW,1,IN-SW-1,Armillaria,659,GW20_659,1,10,10/28/20,8,4,M-8-4,M-8-4,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/11/20,9/20/20,Root,IN,SW,2,IN-SW-2,GYRBA,261,GW20_261,1,10,10/1/20,3,3,IN-3-3,IN-3-3,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/25/20,10/26/20,Root,IN,SW,6,IN-SW-6,GYRBA,648,GW20_648,1,10,10/28/20,8,4,M-8-4,M-8-4,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
