strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Canker_108,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_108,Canker,108,WA,SW,2,WA-SW-2,1/2PDA++,5,CM-37
Canker_109,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_109,Canker,109,IN,SW,1,IN-SW-1,1/2PDA++,5,CM-38
Canker_113,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_113,Canker,113,WA,SW,4,WA-SW-4,1/2PDA++,3,CM-39
Canker_119,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_119,Canker,119,WA,SE,13,WA-SE-13,1/2PDA++,5,CM-40
Canker_12,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_12,Canker,12,IN,NE,3,IN-NE-3,1/2PDA++,5,CM-3
Canker_121,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_121,Canker,121,WA,SE,6,WA-SE-6,1/2PDA++,5,CM-41
Canker_122,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_122,Canker,122,WA,SE,6,WA-SE-6,1/2PDA++,5,CM-42
Canker_128,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_128,Canker,128,IN,NE,1,IN-NE-1,1/2PDA++,5,CM-43
Canker_138,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_138,Canker,138,WA,N,3,WA-N-3,1/2PDA++,3,CM-45
Canker_148,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_148,Canker,148,WA,N,5,WA-N-5,1/2PDA++,3,CM-46
Canker_151,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_151,Canker,151,WA,SE,9,WA-SE-9,1/2PDA++,5,CM-47
Canker_156,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_156,Canker,156,WA,N,17,WA-N-17,1/2PDA++,5,CM-48
Canker_16,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_16,Canker,16,WA,SW,1,WA-SW-1,1/2PDA++,5,CM-15
Canker_18,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_18,Canker,18,WA,N,8,WA-N-8,1/2PDA++,4,CM-8
Canker_19,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_19,Canker,19,WA,N,7,WA-N-7,1/2PDA++,5,CM-25
Canker_23,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_23,Canker,23,IN,SW,4,IN-SW-4,1/2PDA++,5,CM-5
Canker_26,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_26,Canker,26,WA,SW,6,WA-SW-6,1/2PDA++,3,CM-22
Canker_28,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_28,Canker,28,WA,SE,1,WA-SE-1,1/2PDA++,3,CM-14
Canker_31,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_31,Canker,31,WA,SW,9,WA-SW-9,1/2PDA++,3,CM-21
Canker_32,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_32,Canker,32,IN,NE,11,IN-NE-11,1/2PDA++,5,CM-9
Canker_35,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_35,Canker,35,WA,SE,15,WA-SE-15,1/2PDA++,5,CM-27
Canker_46,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_46,Canker,46,WA,N,1,WA-N-1,1/2PDA++,5,CM-3
Canker_51,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_51,Canker,51,IN,NE,17,IN-NE-17,1/2PDA++,5,CM-9
Canker_54,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_54,Canker,54,WA,N,14,WA-N-14,1/2PDA++,2,CM-12
Canker_56,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_56,Canker,56,WA,N,2,WA-N-2,1/2PDA++,4,CM-24
Canker_6,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_6,Canker,6,WA,N,9,WA-N-9,1/2PDA++,5,CM-10
Canker_62,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_62,Canker,62,IN,NE,7,IN-NE-7,1/2PDA++,5,CM-26
Canker_64,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_64,Canker,64,IN,NE,13,IN-NE-13,1/2PDA++,5,CM-4
Canker_69,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_69,Canker,69,IN,SW,14,IN-SW-14,1/2PDA++,5,CM-7
Canker_7,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_7,Canker,7,WA,SW,10,WA-SW-10,1/2PDA++,3,CM-17
Canker_73,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_73,Canker,73,IN,SW,15,IN-SW-15,1/2PDA++,5,CM-5
Canker_76,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_76,Canker,76,WA,SE,8,WA-SE-8,1/2PDA++,5,CM-23
Canker_78,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_78,Canker,78,IN,NE,16,IN-NE-16,1/2PDA++,4,CM-29
Canker_80,endophyte,Juglans_nigra,Jn_endosphere_2020,GW_Cank20_80,Canker,80,WA,SE,20,WA-SE-20,1/2PDA++,3,CM-31
