strain_name,biotic_relationship,specific_host,project_name,Isolate,IsolateNum,env_material,SampleState,SamplePlot,SampleRep,SampleID,Reps.numerator,Reps.denominator,MorphospLong,Morpho2
Root_127,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_127,127,Root,IN,SW,12,IN-SW-12,1,10,IN-2-5,IN-2-5
Root_224,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_224,224,Root,WA,SW,6,WA-SW-6,1,10,WA-3-13,WA-3-13
Root_275,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_275,275,Root,IN,SW,12,IN-SW-12,1,10,IN-3-20,IN-3-20
Root_308_1,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_308_1,308,Root,WA,SW,4,WA-N-11,1,10,Single,Single
Root_369,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_369,369,Root,WA,SE,11,WA-SE-11,1,10,Single,Single
Root_371,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_371,371,Root,WA,SE,11,WA-SE-11,1,10,Single,Single
Root_386,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_386,386,Root,WA,N,1,WA-N-1,1,10,WA-5-7,WA-5-7
Root_445,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_445,445,Root,IN,NE,9,IN-NE-9,1,10,IN-5-4,IN-5-4
Root_531,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_531,531,Root,WA,SE,12,WA-SE-12,1,10,WA-6-7,WA-6-7
Root_538,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_538,538,Root,IN,SW,12,IN-SW-12,1,10,IN-6-5,IN-6-5-2
Root_553,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_553,553,Root,IN,SW,1,IN-SW-1,1,10,IN-6-6,IN-6-6
Root_576,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_576,576,Root,IN,SW,12,IN-SW-12,1,10,IN-7-5,IN-7-5
Root_589,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_589,589,Root,WA,SE,13,WA-SE-13,1,10,WA-7-1,WA-7-1
Root_604,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_604,604,Root,IN,NE,1,IN-NE-1,1,10,IN-7-12,IN-7-12
Root_611,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_611,611,Root,IN,NE,16,IN-NE-16,1,10,Single,Single
Root_627,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_627,627,Root,IN,NE,3,IN-NE-3,1,10,IN-7-17,IN-7-17
Root_675,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_675,675,Root,WA,SE,13,WA-SE-13,1,10,M-8-10,M-8-10
Root_453,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_453,453,Root,WA,N,3,WA-N-3,1,10,WA-5-40,WA-5-40
